Filename,Siglevel,Langousis_Min1,Langousis_Min2,Langousis_Min3,Langousis_Time,Studentized_Residuals,Studentized_Residuals_Time,Anderson_Darling,Anderson_Darling_Time,CVM,CVM_Time
USC00336781_precipitation.csv,0.01,10.2286746058276,29.090266425659,34.9746497882692,0.063615,0.3,0.0009546,28.2,0.76345,28.2,0.753732
USC00336781_precipitation.csv,0.05,10.2286746058276,29.090266425659,34.9746497882692,0.0689258,0.3,0.0010165,28.2,0.767236,28.2,0.7675703
USC00338313_precipitation.csv,0.01,16.5963820056362,30.793062501458,50.2296847296589,0.0452765,0.3,0.0006458,23.6,0.6765023,23.6,0.6841313
USC00338313_precipitation.csv,0.05,16.5963820056362,30.793062501458,50.2296847296589,0.0617562,0.3,0.0008594,24.4,0.7012543,23.6,0.6850655
USC00338366_precipitation.csv,0.01,1.45428532682275,16.6869358442872,26.8232660786476,0.0469151,3,0.2153027,22.6,0.6036094,19.8,0.5409809
USC00338366_precipitation.csv,0.05,1.45428532682275,16.6869358442872,26.8232660786476,0.0630691,15,0.4086881,25.9,0.6556437,25.9,0.6589057
USC00338534_precipitation.csv,0.01,25.7226767715175,39.6701936100767,49.8090327027074,0.0518314,0.3,0.0007546,24.4,0.6621401,24.4,0.6454555
USC00338534_precipitation.csv,0.05,25.7226767715175,39.6701936100767,49.8090327027074,0.0609799,0.3,0.0008406,24.4,0.6595588,24.4,0.6770135
USC00338642_precipitation.csv,0.01,4.86523337447026,18.5599818701373,24.119988477733,0.05965,3,0.2286284,23.6,0.6013951,23.6,0.5966098
USC00338642_precipitation.csv,0.05,4.86523337447026,18.5599818701373,24.119988477733,0.0440411,24.9,0.7177544,29.2,0.7425795,23.6,0.6791066
USC00338769_precipitation.csv,0.01,15.8272316522539,21.2857268579211,28.9419046838319,0.0457943,0.3,0.0007799,27.2,0.8175614,27.2,0.7886722
USC00338769_precipitation.csv,0.05,15.8272316522539,21.2857268579211,28.9419046838319,0.0551584,0.3,0.000891,27.2,0.7596294,27.2,0.7190451
USC00338822_precipitation.csv,0.01,2.24175274374552,6.97834801821625,15.6063529908075,0.0583409,43.4,0.263149,26.9,0.6765767,30.5,0.7435437
USC00338822_precipitation.csv,0.05,2.24175274374552,6.97834801821625,15.6063529908075,0.0519183,43.4,0.2300195,30.5,0.768691,30.5,0.7461767
USC00338830_precipitation.csv,0.01,9.10254822435062,41.6051990775918,54.9809968685692,0.0627832,0.3,0.0008769,37.1,0.8822502,37.1,0.8922475
USC00338830_precipitation.csv,0.05,9.10254822435062,41.6051990775918,54.9809968685692,0.0499981,0.3,0.0008889,37.1,0.8946823,37.1,0.8930001
USC00339312_precipitation.csv,0.01,19.3092669475634,49.1209190529549,54.7138428474955,0.0476195,0.3,0.0006864,23.6,0.6631976,23.4,0.6535373
USC00339312_precipitation.csv,0.05,19.3092669475634,49.1209190529549,54.7138428474955,0.0551036,0.3,0.0008344,23.9,0.6688116,23.6,0.6482351
USC00340292_precipitation.csv,0.01,3.22714599921852,28.8054347538472,50.0406299537597,0.0900898,7.6,0.2462332,39.9,0.9356037,39.9,0.9356733
USC00340292_precipitation.csv,0.05,3.22714599921852,28.8054347538472,50.0406299537597,0.1221934,7.6,0.2415346,45.2,1.0298419,45.2,1.033396
USC00341391_precipitation.csv,0.01,11.7807055458445,15.2895559207052,28.9539230900565,0.0986045,0.3,0.0010607,31.8,0.7436207,31.8,0.7765846
USC00341391_precipitation.csv,0.05,11.7807055458445,15.2895559207052,28.9539230900565,0.1112672,0.3,0.0013033,43.2,0.9555039,43.2,0.9604821
USC00341684_precipitation.csv,0.01,3.19321585120561,7.89061755564051,17.4743573854992,0.0801835,5.1,0.2392237,38.9,0.8799845,38.9,0.8809815
USC00341684_precipitation.csv,0.05,3.19321585120561,7.89061755564051,17.4743573854992,0.0999888,5.1,0.3182578,38.9,0.9542763,38.9,0.9023376
USC00342678_precipitation.csv,0.01,4.87318663217866,11.4907320918392,50.9825436343575,0.1196515,7.6,0.2775522,46.2,1.1569642,44.7,1.1185018
USC00342678_precipitation.csv,0.05,4.87318663217866,11.4907320918392,50.9825436343575,0.1206819,7.6,0.2669314,46.5,1.0578043,46.2,1.0431836
USC00342912_precipitation.csv,0.01,2.07589354043388,18.8521669490564,49.0937420337569,0.0865786,3.8,0.2412268,29.5,0.7775046,29.5,0.7874968
USC00342912_precipitation.csv,0.05,2.07589354043388,18.8521669490564,49.0937420337569,0.0658926,3.8,0.2527253,29.5,0.772357,29.5,0.7793459
USC00343497_precipitation.csv,0.01,2.47016134315947,9.61915615757113,11.3949019455602,0.0797596,7.6,0.2350202,30.5,0.7302093,29.7,0.7194051
USC00343497_precipitation.csv,0.05,2.47016134315947,9.61915615757113,11.3949019455602,0.0894983,7.6,0.2551536,34.3,0.8195451,34.3,0.8074339
USC00343821_precipitation.csv,0.01,1.55785126575561,33.9525909365706,62.350552507325,0.0834322,3,0.2405176,35.1,0.939444,29.2,0.7992968
USC00343821_precipitation.csv,0.05,1.55785126575561,33.9525909365706,62.350552507325,0.0786699,3,0.2323126,35.1,0.9398926,35.1,0.928959
USC00344235_precipitation.csv,0.01,2.15259031632483,50.9961997764913,64.6220973210967,0.0837929,0.3,0.0008862,40.9,0.9320955,40.9,0.9272299
USC00344235_precipitation.csv,0.05,2.15259031632483,50.9961997764913,64.6220973210967,0.09164,7.6,0.2336472,148.8,2.1018154,40.9,0.9298857
USC00344573_precipitation.csv,0.01,3.18353334587978,19.6109054290398,29.2039932323753,0.0807654,18,0.2378997,34.3,0.8111338,34.3,0.7907949
USC00344573_precipitation.csv,0.05,3.18353334587978,19.6109054290398,29.2039932323753,0.0835549,35.6,0.4893502,37.1,0.8597446,37.1,0.86073
USC00344861_precipitation.csv,0.01,14.3164445246114,51.3073248182589,63.5253198197059,0.0658419,15.2,0.1768289,35.3,0.8276977,35.3,0.8111748
USC00344861_precipitation.csv,0.05,14.3164445246114,51.3073248182589,63.5253198197059,0.0738565,15.2,0.1770197,114.6,1.5713733,114.6,1.5569454
USC00345063_precipitation.csv,0.01,5.58051647398547,10.1696463641084,15.4793865842909,0.0705,50.8,0.2303017,117.6,1.4800525,117.6,1.4591138
USC00345063_precipitation.csv,0.05,5.58051647398547,10.1696463641084,15.4793865842909,0.0793631,50.8,0.2619154,117.6,1.488631,117.6,1.4671389
USC00345581_precipitation.csv,0.01,3.8115062882186,9.50306106474511,16.3912445983159,0.1084591,9.1,0.2461231,38.9,1.0427217,38.9,0.9592096
USC00345581_precipitation.csv,0.05,3.8115062882186,9.50306106474511,16.3912445983159,0.1054274,9.1,0.2996494,38.9,0.9331109,38.9,0.927623
USC00346278_precipitation.csv,0.01,2.14470534577013,17.1040210902543,27.4738125567242,0.0695622,6.4,0.2434443,35.8,0.8665414,32.5,0.7742066
USC00346278_precipitation.csv,0.05,2.14470534577013,17.1040210902543,27.4738125567242,0.0880791,19,0.5014132,35.8,0.8748988,35.8,0.861307
USC00346926_precipitation.csv,0.01,5.28760946758847,28.5824104674096,51.3297575570522,0.0739078,12.7,0.2284032,41.9,0.9138236,41.9,0.8999787
USC00346926_precipitation.csv,0.05,5.28760946758847,28.5824104674096,51.3297575570522,0.0698183,12.7,0.2441147,43.9,0.9442003,43.9,0.9302757
USC00346935_precipitation.csv,0.01,1.44559239958291,24.4365359797384,39.8996007384741,0.1002418,5.3,0.2363206,45.5,1.0608637,45.2,1.0538694
USC00346935_precipitation.csv,0.05,1.44559239958291,24.4365359797384,39.8996007384741,0.0858688,32.8,0.4056867,45.7,1.065878,45.5,1.0501716
USC00348110_precipitation.csv,0.01,2.87527378702865,28.2356614547984,46.2497621937692,0.106141,8.1,0.2576574,35.3,0.8699866,34.3,0.8275512
USC00348110_precipitation.csv,0.05,2.87527378702865,28.2356614547984,46.2497621937692,0.0882447,8.1,0.2621896,35.3,0.858423,35.3,0.8570957
USC00348501_precipitation.csv,0.01,2.78462535234631,18.0033488807889,59.3790838180051,0.0819077,5.8,0.250057,36.3,0.9736208,36.3,1.0540578
USC00348501_precipitation.csv,0.05,2.78462535234631,18.0033488807889,59.3790838180051,0.1102712,5.8,0.3021647,39.9,1.1696096,39.9,1.1145485
USC00348884_precipitation.csv,0.01,6.1638296973633,19.9688171356328,40.588021550489,0.1101413,11.4,0.1843225,42.7,1.0584417,42.7,0.9765775
USC00348884_precipitation.csv,0.05,6.1638296973633,19.9688171356328,40.588021550489,0.1143553,11.4,0.1941187,44.2,0.9909372,46.7,1.0516844
USC00349422_precipitation.csv,0.01,2.82182968724635,17.1810964354371,25.7511596818359,0.0704221,5.1,0.2364789,35.6,0.8069596,35.6,0.7998088
USC00349422_precipitation.csv,0.05,2.82182968724635,17.1810964354371,25.7511596818359,0.0681908,5.1,0.2370069,35.6,0.8022153,35.6,0.7847975
USC00349629_precipitation.csv,0.01,1.42283507134473,16.9452025507889,22.0084114923539,0.090292,3,0.2368544,35.6,0.807432,33.8,0.7608961
USC00349629_precipitation.csv,0.05,1.42283507134473,16.9452025507889,22.0084114923539,0.091723,17.5,0.4890202,35.6,0.8035205,35.6,0.7881653
USC00349760_precipitation.csv,0.01,4.90440810538245,45.7266551460366,55.7772241443594,0.0862011,8.1,0.2338155,26.9,0.6219618,26.9,0.6051012
USC00349760_precipitation.csv,0.05,4.90440810538245,45.7266551460366,55.7772241443594,0.068225,8.1,0.2467159,26.9,0.6211461,26.9,0.6204539
USC00350304_precipitation.csv,0.01,3.88649765197611,6.583908834277,14.1030099188225,0.0271673,0.3,0.0005091,17.3,0.4137096,16,0.3984817
USC00350304_precipitation.csv,0.05,3.88649765197611,6.583908834277,14.1030099188225,0.0316416,15.2,0.4174659,20.8,0.4959756,17.3,0.4093082
USC00350471_precipitation.csv,0.01,1.3790799178374,19.9550632711787,51.9542673548513,0.0705168,22.6,0.2436689,33.8,0.8255786,30.5,0.7825775
USC00350471_precipitation.csv,0.05,1.3790799178374,19.9550632711787,51.9542673548513,0.0682864,22.6,0.233163,35.6,0.878303,35.6,0.8911986
USC00350694_precipitation.csv,0.01,5.75755872211314,27.4173383884356,39.2974702945884,0.0260475,7.6,0.1903129,15,0.3375654,10.9,0.2579722
USC00350694_precipitation.csv,0.05,5.75755872211314,27.4173383884356,39.2974702945884,0.0227222,7.6,0.183105,17,0.3927623,17,0.3734338
USC00351765_precipitation.csv,0.01,4.08393685418353,10.5027588989875,21.877181784692,0.0241339,0.3,0.0005153,9.4,0.2353026,8.4,0.2020309
USC00351765_precipitation.csv,0.05,4.08393685418353,10.5027588989875,21.877181784692,0.0243543,0.3,0.0006272,12.2,0.2753316,9.4,0.2188723
USC00351862_precipitation.csv,0.01,1.23102626743865,4.1936747680824,6.3456937262733,0.0528015,13,0.2437012,24.4,0.5852229,24.4,0.5922176
USC00351862_precipitation.csv,0.05,1.23102626743865,4.1936747680824,6.3456937262733,0.0511647,13,0.2284436,24.4,0.6022478,24.4,0.5869565
USC00352406_precipitation.csv,0.01,24.0914067742602,28.0431840535297,33.9406938325275,0.0643004,22.6,0.0949383,20.3,0.5469289,19.8,0.5385561
