Filename, Percentage Available, Total Days, Available Rows
ASN00010518_precipitation.csv, 36.19, 100017, 36193
ASN00010519_precipitation.csv, 35.61, 100016, 35612
ASN00010520_precipitation.csv, 34.53, 100016, 34538
ASN00010524_precipitation.csv, 42.05, 100017, 42057
ASN00010525_precipitation.csv, 85.04, 47452, 40351
ASN00010527_precipitation.csv, 30.62, 100017, 30627
ASN00010528_precipitation.csv, 90.60, 44195, 40040
ASN00010530_precipitation.csv, 36.69, 100017, 36700
ASN00010531_precipitation.csv, 35.00, 100016, 35006
ASN00010534_precipitation.csv, 40.39, 100017, 40396
ASN00010536_precipitation.csv, 41.33, 100017, 41339
ASN00010537_precipitation.csv, 40.04, 100017, 40044
ASN00010541_precipitation.csv, 40.17, 100016, 40181
ASN00010542_precipitation.csv, 37.53, 100030, 37541
ASN00010546_precipitation.csv, 39.79, 100017, 39797
ASN00010556_precipitation.csv, 7.31, 100017, 7313
ASN00010558_precipitation.csv, 37.97, 100017, 37977
ASN00010560_precipitation.csv, 32.35, 100017, 32355
ASN00010564_precipitation.csv, 37.66, 100017, 37664
ASN00010565_precipitation.csv, 33.72, 100017, 33730
ASN00010568_precipitation.csv, 34.34, 100017, 34350
ASN00010571_precipitation.csv, 27.88, 100017, 27880
ASN00010579_precipitation.csv, 87.25, 44438, 38774
ASN00010582_precipitation.csv, 42.03, 100017, 42039
ASN00010584_precipitation.csv, 35.84, 100017, 35845
ASN00010600_precipitation.csv, 94.55, 40191, 38002
ASN00010603_precipitation.csv, 40.04, 100017, 40051
ASN00010614_precipitation.csv, 43.03, 100017, 43041
ASN00010617_precipitation.csv, 33.46, 100017, 33462
ASN00010619_precipitation.csv, 36.84, 100016, 36844
ASN00010622_precipitation.csv, 39.46, 100017, 39465
ASN00010623_precipitation.csv, 73.20, 44803, 32796
ASN00010625_precipitation.csv, 29.29, 100017, 29293
ASN00010626_precipitation.csv, 43.30, 100017, 43304
ASN00010627_precipitation.csv, 32.34, 100016, 32343
ASN00010628_precipitation.csv, 40.24, 100045, 40254
ASN00010633_precipitation.csv, 42.65, 100017, 42658
ASN00010634_precipitation.csv, 37.49, 100016, 37498
ASN00010635_precipitation.csv, 40.43, 100017, 40436
ASN00010636_precipitation.csv, 85.18, 42525, 36223
ASN00010638_precipitation.csv, 94.14, 40720, 38333
ASN00010641_precipitation.csv, 36.91, 100016, 36911
ASN00010643_precipitation.csv, 36.76, 99928, 36735
ASN00010647_precipitation.csv, 42.92, 100017, 42925
