Iteration,Run,CDF_Threshold,k,sigma,Rounding,Real_Threshold,SigLevel,Studentized_Residuals,SR_Time,Langousis_Min1,Langousis_Min2,Langousis_Min3,Langousis_Time,Anderson_Darling,AD_Time,Cramer_Von_Mises,CVM_Time
31,6,0.99,-0.15,0.5,1,2.32634787404084,0.01,1,0.089071,1.42140509730036,NaN,NaN,0.0059133,3.5,0.2549677,3.5,0.251071
32,6,0.99,-0.15,0.5,1,2.32634787404084,0.05,1.5,0.2997815,1.42140509730036,NaN,NaN,0.0063012,3.5,0.2498829,3.5,0.256446
33,6,0.99,-0.15,0.5,2,2.32634787404084,0.01,1.55,0.3482056,1.40063590019659,2.77533336736538,NaN,0.0777536,3.5,2.2466917,3.5,2.257234
34,6,0.99,-0.15,0.5,2,2.32634787404084,0.05,1.55,0.34146,1.40063590019659,2.77533336736538,NaN,0.0734881,3.5,2.246849,3.5,2.2315914
35,6,0.99,-0.15,0.5,3,2.32634787404084,0.01,1.56,1.8465349,1.43852306986918,2.78610922016962,NaN,22.3478058,3.502,18.4401219,3.502,17.9960364
36,6,0.99,-0.15,0.5,3,2.32634787404084,0.05,1.56,1.8669796,1.43852306986918,2.78610922016962,NaN,22.5771454,3.502,18.386677,3.502,18.0009975
37,7,0.99,-0.15,0.5,1,2.32634787404084,0.01,0.9,0.084784,1.41494471258271,2.25403912853746,NaN,0.0055727,3.5,0.2596475,3.5,0.2629409
38,7,0.99,-0.15,0.5,1,2.32634787404084,0.05,1.5,0.2862957,1.41494471258271,2.25403912853746,NaN,0.0051214,3.5,0.2594011,3.5,0.260372
39,7,0.99,-0.15,0.5,2,2.32634787404084,0.01,0.93,0.2405483,1.47205189836156,1.95671418397109,2.3082036206089,0.0795327,3.51,2.1816554,3.51,2.1751571
40,7,0.99,-0.15,0.5,2,2.32634787404084,0.05,1.55,0.4568739,1.47205189836156,1.95671418397109,2.3082036206089,0.0798121,3.51,2.1680996,3.51,2.1720438
41,7,0.99,-0.15,0.5,3,2.32634787404084,0.01,0.928,1.2678715,1.50747060838391,2.29863500318043,3.23256081724892,21.3215771,3.51,17.3140301,3.51,17.0397995
42,7,0.99,-0.15,0.5,3,2.32634787404084,0.05,0.928,1.2886515,1.50747060838391,2.29863500318043,3.23256081724892,21.3550131,3.51,17.1219426,3.51,17.3821977
43,8,0.99,-0.15,0.5,1,2.32634787404084,0.01,1,0.0965985,1.52495241511976,NaN,NaN,0.0048494,3.4,0.257234,3.4,0.2631063
44,8,0.99,-0.15,0.5,1,2.32634787404084,0.05,1.8,0.2993205,1.52495241511976,NaN,NaN,0.0048547,3.4,0.2544285,3.4,0.2574004
45,8,0.99,-0.15,0.5,2,2.32634787404084,0.01,1.03,0.2454939,1.59260161721305,2.18015289650472,NaN,0.0725476,3.44,2.2008932,3.44,2.2084249
46,8,0.99,-0.15,0.5,2,2.32634787404084,0.05,1.59,0.3493595,1.59260161721305,2.18015289650472,NaN,0.0747362,3.44,2.2133398,3.44,2.2564208
47,8,0.99,-0.15,0.5,3,2.32634787404084,0.01,1.592,1.9344366,1.60335183973358,2.1625685317701,NaN,22.5450538,1.932,16.6196649,1.932,16.5244009
48,8,0.99,-0.15,0.5,3,2.32634787404084,0.05,1.592,1.9425548,1.60335183973358,2.1625685317701,NaN,22.6794816,1.932,16.5483153,1.932,16.7462259
49,9,0.99,-0.15,0.5,1,2.32634787404084,0.01,1.1,0.0998695,2.17923137636146,NaN,NaN,0.0186475,3.4,0.2440618,3.4,0.2443763
50,9,0.99,-0.15,0.5,1,2.32634787404084,0.05,1.7,0.2631798,2.17923137636146,NaN,NaN,0.0057319,3.4,0.2442907,3.4,0.2455195
51,9,0.99,-0.15,0.5,2,2.32634787404084,0.01,1.14,0.2413531,2.17507692894566,NaN,NaN,0.078175,1.79,1.6561225,1.79,1.6736636
52,9,0.99,-0.15,0.5,2,2.32634787404084,0.05,1.8,0.3672794,2.17507692894566,NaN,NaN,0.0712192,1.79,1.6648704,1.79,1.6492426
53,9,0.99,-0.15,0.5,3,2.32634787404084,0.01,1.153,1.2958169,1.75316759411558,2.17751933518185,NaN,22.0445277,1.769,15.8090026,1.769,16.0890963
54,9,0.99,-0.15,0.5,3,2.32634787404084,0.05,1.153,1.3031908,1.75316759411558,2.17751933518185,NaN,21.9339736,1.769,15.8787848,1.769,15.9572495
55,10,0.99,-0.15,0.5,1,2.32634787404084,0.01,0.9,0.0877356,1.45699219855945,NaN,NaN,0.0053591,3.4,0.2575516,3.4,0.2557865
56,10,0.99,-0.15,0.5,1,2.32634787404084,0.05,1.7,0.2912844,1.45699219855945,NaN,NaN,0.0057014,3.4,0.2651526,3.4,0.2646889
57,10,0.99,-0.15,0.5,2,2.32634787404084,0.01,1.75,0.3965446,1.55649292302836,2.19585638452326,NaN,0.077402,3.41,2.8208339,3.41,2.5671975
58,10,0.99,-0.15,0.5,2,2.32634787404084,0.05,1.75,0.3970313,1.55649292302836,2.19585638452326,NaN,0.0769408,3.41,2.2079066,3.41,2.2097235
59,10,0.99,-0.15,0.5,3,2.32634787404084,0.01,1.754,1.8470361,1.67011521107485,2.18674897748288,NaN,22.2152363,3.408,17.6798728,3.408,17.8702374
60,10,0.99,-0.15,0.5,3,2.32634787404084,0.05,1.754,1.8484221,1.67011521107485,2.18674897748288,NaN,21.9537566,3.408,17.6701272,3.408,17.5918279
61,1,0.99,-0.15,1,1,2.32634787404084,0.01,2.3,0.3243887,1.16461136137342,2.68427470408661,3.18779319365379,0.0081699,1.8,0.163955,1.8,0.1683572
62,1,0.99,-0.15,1,1,2.32634787404084,0.05,2.3,0.3273078,1.16461136137342,2.68427470408661,3.18779319365379,0.0062923,1.8,0.1617584,1.8,0.1601203
63,1,0.99,-0.15,1,2,2.32634787404084,0.01,2.36,0.4827371,1.26832646499549,2.43307466808625,2.65913119355725,0.0896752,1.4,1.3499136,1.37,1.4360782
64,1,0.99,-0.15,1,2,2.32634787404084,0.05,2.36,0.5109098,1.26832646499549,2.43307466808625,2.65913119355725,0.09374,1.79,1.6038967,1.79,1.5927024
65,1,0.99,-0.15,1,3,2.32634787404084,0.01,2.37,2.1219752,1.36259378062808,2.40206308007576,2.6676038167475,22.5149302,1.4,13.2728954,1.37,13.1383259
66,1,0.99,-0.15,1,3,2.32634787404084,0.05,2.37,2.10228,1.36259378062808,2.40206308007576,2.6676038167475,22.464536,1.754,15.1658426,1.754,14.8217858
67,2,0.99,-0.15,1,1,2.32634787404084,0.01,2.3,0.3524842,1.28880860280901,2.50281477330078,3.23753887382605,0.00695,1.5,0.1470364,1.5,0.1535613
68,2,0.99,-0.15,1,1,2.32634787404084,0.05,2.3,0.3594658,1.28880860280901,2.50281477330078,3.23753887382605,0.0060056,1.6,0.1499962,1.5,0.1464114
69,2,0.99,-0.15,1,2,2.32634787404084,0.01,2.35,0.46769,1.35559671883681,2.40732624295648,3.32738050836043,0.0889881,1.44,1.3051836,1.44,1.3200716
70,2,0.99,-0.15,1,2,2.32634787404084,0.05,2.35,0.4686761,1.35559671883681,2.40732624295648,3.32738050836043,0.0818904,1.55,1.3748017,1.55,1.3651985
71,2,0.99,-0.15,1,3,2.32634787404084,0.01,2.358,2.3608383,1.45947283176158,2.39167456389259,3.32363073115929,20.7984375,1.438,13.4209744,1.438,13.3035602
72,2,0.99,-0.15,1,3,2.32634787404084,0.05,2.358,2.3596952,1.45947283176158,2.39167456389259,3.32363073115929,20.8992706,1.553,13.9175408,1.537,15.6367421
73,3,0.99,-0.15,1,1,2.32634787404084,0.01,2.3,0.4222148,1.2235938668494,2.42799699183072,NaN,0.0086456,1.5,0.1706208,1.5,0.1684277
74,3,0.99,-0.15,1,1,2.32634787404084,0.05,2.3,0.3411243,1.2235938668494,2.42799699183072,NaN,0.0070025,1.7,0.1880148,1.5,0.1702968
75,3,0.99,-0.15,1,2,2.32634787404084,0.01,2.33,0.5187749,1.29926101395854,2.39050683271126,3.35008799985585,0.0914628,1.5,1.5474808,1.5,1.5415534
76,3,0.99,-0.15,1,2,2.32634787404084,0.05,2.33,0.5338106,1.29926101395854,2.39050683271126,3.35008799985585,0.0836842,1.53,1.5410126,1.53,1.5059817
77,3,0.99,-0.15,1,3,2.32634787404084,0.01,2.327,2.3990375,1.42106598218959,2.38661642340516,3.33913896007464,21.7036565,1.506,13.413303,1.502,13.0458769
78,3,0.99,-0.15,1,3,2.32634787404084,0.05,2.327,2.2520742,1.42106598218959,2.38661642340516,3.33913896007464,21.8369671,1.529,13.101023,1.506,13.2122525
79,4,0.99,-0.15,1,1,2.32634787404084,0.01,2.3,0.3300713,1.40545450943778,2.50812235875523,NaN,0.0056425,1.6,0.1540397,1.5,0.1655005
80,4,0.99,-0.15,1,1,2.32634787404084,0.05,2.3,0.3036825,1.40545450943778,2.50812235875523,NaN,0.0056737,1.7,0.1562785,1.6,0.1509067
81,4,0.99,-0.15,1,2,2.32634787404084,0.01,2.34,0.4693996,1.50385408870147,2.43741847638888,NaN,0.0765305,1.51,1.3517696,1.51,1.3573702
82,4,0.99,-0.15,1,2,2.32634787404084,0.05,2.34,0.4630109,1.50385408870147,2.43741847638888,NaN,0.0776426,1.51,1.3569957,1.51,1.3460516
83,4,0.99,-0.15,1,3,2.32634787404084,0.01,2.366,2.4731766,1.602911202684,2.42518909815017,NaN,21.7619038,1.509,13.5043483,1.509,13.6939245
84,4,0.99,-0.15,1,3,2.32634787404084,0.05,2.366,2.5244806,1.602911202684,2.42518909815017,NaN,22.0871549,1.509,14.1005436,1.509,13.678354
85,5,0.99,-0.15,1,1,2.32634787404084,0.01,2.3,0.3197507,1.33330048396937,2.72637222665392,NaN,0.0063163,1.6,0.1515694,1.6,0.1528891
86,5,0.99,-0.15,1,1,2.32634787404084,0.05,2.3,0.3180666,1.33330048396937,2.72637222665392,NaN,0.005827,1.6,0.153514,1.6,0.1523393
87,5,0.99,-0.15,1,2,2.32634787404084,0.01,2.34,0.4733551,1.41321949042263,2.42417362001933,2.88148273301816,0.0835356,1.49,1.3787241,1.49,1.371689
88,5,0.99,-0.15,1,2,2.32634787404084,0.05,2.34,0.4771264,1.41321949042263,2.42417362001933,2.88148273301816,0.0853536,1.49,1.4248124,1.49,1.4731892
89,5,0.99,-0.15,1,3,2.32634787404084,0.01,2.33,2.5730823,1.50122668881589,2.40884825282991,2.84163435176922,21.7463622,1.49,13.9893913,1.49,13.5539304
90,5,0.99,-0.15,1,3,2.32634787404084,0.05,2.33,2.5786696,1.50122668881589,2.40884825282991,2.84163435176922,21.6054099,1.492,13.7904166,1.492,13.9672917
91,6,0.99,-0.15,1,1,2.32634787404084,0.01,2.3,0.3576829,1.29142144545525,2.58333738382391,NaN,0.0057454,1.6,0.1537872,1.6,0.1550792
92,6,0.99,-0.15,1,1,2.32634787404084,0.05,2.3,0.3557649,1.29142144545525,2.58333738382391,NaN,0.0060753,1.6,0.1540695,1.6,0.1521499
93,6,0.99,-0.15,1,2,2.32634787404084,0.01,2.32,0.4832087,1.40853744289448,2.55168825983127,3.51569329017808,0.0868572,1.57,1.4099305,1.26,1.2304939
94,6,0.99,-0.15,1,2,2.32634787404084,0.05,2.32,0.4788413,1.40853744289448,2.55168825983127,3.51569329017808,0.0869116,1.58,1.4035932,1.58,1.4162104
95,6,0.99,-0.15,1,3,2.32634787404084,0.01,2.324,2.6211913,1.49834367991598,2.36980531442436,2.57788846428891,22.1546309,1.46,13.4553708,1.258,12.2693258
96,6,0.99,-0.15,1,3,2.32634787404084,0.05,2.324,2.8160474,1.49834367991598,2.36980531442436,2.57788846428891,22.1344812,1.581,13.8035221,1.581,14.1242565
97,7,0.99,-0.15,1,1,2.32634787404084,0.01,2.3,0.3831854,1.26462156619729,2.46654542366807,NaN,0.0065472,1.6,0.1650259,1.6,0.1583455
98,7,0.99,-0.15,1,1,2.32634787404084,0.05,2.3,0.3784991,1.26462156619729,2.46654542366807,NaN,0.0065213,1.6,0.1645491,1.6,0.1668613
99,7,0.99,-0.15,1,2,2.32634787404084,0.01,2.29,0.480736,1.38293658676672,2.38787006334623,NaN,0.0923596,1.56,1.4320156,1.56,1.429074
100,7,0.99,-0.15,1,2,2.32634787404084,0.05,2.29,0.5003336,1.38293658676672,2.38787006334623,NaN,0.0896755,1.62,1.4601756,1.62,1.4721197
101,7,0.99,-0.15,1,3,2.32634787404084,0.01,1.497,1.9053063,1.48350040835352,2.36953412237838,3.29382444425995,23.1901212,1.558,13.964,1.558,14.2252583
102,7,0.99,-0.15,1,3,2.32634787404084,0.05,1.497,1.9908605,1.48350040835352,2.36953412237838,3.29382444425995,23.1477711,1.618,14.3988515,1.603,14.111595
103,8,0.99,-0.15,1,1,2.32634787404084,0.01,2.4,0.3538911,1.27606187860018,2.45054177469808,2.72663252033793,0.0078812,1.7,0.1610716,1.4,0.1523895
104,8,0.99,-0.15,1,1,2.32634787404084,0.05,2.4,0.3677801,1.27606187860018,2.45054177469808,2.72663252033793,0.007926,1.7,0.1618408,1.7,0.1760041
105,8,0.99,-0.15,1,2,2.32634787404084,0.01,2.32,0.4879721,1.38187284983637,2.39741656548714,2.90316647018768,0.0957935,1.37,1.3517063,1.37,1.3095993
106,8,0.99,-0.15,1,2,2.32634787404084,0.05,2.32,0.4673123,1.38187284983637,2.39741656548714,2.90316647018768,0.090879,1.37,1.2962273,1.37,1.2970614
107,8,0.99,-0.15,1,3,2.32634787404084,0.01,2.321,2.2826895,1.50487857191535,2.39700624070558,2.90441002979722,22.8320483,1.373,12.9295241,1.371,12.719174
108,8,0.99,-0.15,1,3,2.32634787404084,0.05,2.321,2.3063717,1.50487857191535,2.39700624070558,2.90441002979722,22.9345785,1.373,12.9406336,1.373,13.1147529
109,9,0.99,-0.15,1,1,2.32634787404084,0.01,2.3,0.4239936,1.40209256343677,2.35633941966681,NaN,0.0063287,1.8,0.1629797,1.4,0.1436529
110,9,0.99,-0.15,1,1,2.32634787404084,0.05,2.3,0.4244222,1.40209256343677,2.35633941966681,NaN,0.0072098,1.9,0.1668033,1.9,0.1688959
111,9,0.99,-0.15,1,2,2.32634787404084,0.01,2.33,0.558898,1.43582500312931,2.33199657118589,NaN,0.0867253,1.38,1.308989,1.38,1.3077893
112,9,0.99,-0.15,1,2,2.32634787404084,0.05,2.33,0.5688766,1.43582500312931,2.33199657118589,NaN,0.0879825,1.45,1.3533787,1.45,1.3420575
113,9,0.99,-0.15,1,3,2.32634787404084,0.01,2.329,2.3694132,1.49425407316879,2.3135308643731,3.78952731389795,22.5173182,1.377,13.1508133,1.37,13.3701075
114,9,0.99,-0.15,1,3,2.32634787404084,0.05,2.329,2.383762,1.49425407316879,2.3135308643731,3.78952731389795,22.5258595,1.45,13.4271159,1.427,13.4286524
115,10,0.99,-0.15,1,1,2.32634787404084,0.01,2.3,0.3500879,1.14778812855877,3.18479233171628,NaN,0.0061721,1.8,0.1591896,1.8,0.1649446
116,10,0.99,-0.15,1,1,2.32634787404084,0.05,2.3,0.3438241,1.14778812855877,3.18479233171628,NaN,0.0055956,2,0.177546,2,0.1705368
117,10,0.99,-0.15,1,2,2.32634787404084,0.01,2.33,0.4901563,1.26302354125208,2.39019309111653,3.10577412707671,0.0789771,1.81,1.5347905,1.3,1.2523212
118,10,0.99,-0.15,1,2,2.32634787404084,0.05,2.33,0.4776193,1.26302354125208,2.39019309111653,3.10577412707671,0.0817525,1.86,1.6449615,1.86,1.7665561
119,10,0.99,-0.15,1,3,2.32634787404084,0.01,2.327,2.6076094,1.35389630740206,2.36288321908164,3.10537401811467,21.0523591,1.809,14.6181747,1.3,12.6467014
120,10,0.99,-0.15,1,3,2.32634787404084,0.05,2.327,2.506408,1.35389630740206,2.36288321908164,3.10537401811467,21.3437209,1.86,14.7431695,1.86,14.7313983
121,1,0.99,-0.15,2,1,2.32634787404084,0.01,2.3,0.4697715,1.08753865917128,3.13544675348844,3.84055254503241,0.0075629,1.4,0.1314489,1.3,0.1234685
122,1,0.99,-0.15,2,1,2.32634787404084,0.05,2.3,0.4571657,1.08753865917128,3.13544675348844,3.84055254503241,0.0078648,1.4,0.1424297,1.4,0.1315309
123,1,0.99,-0.15,2,2,2.32634787404084,0.01,2.31,0.3437603,1.1980123399727,3.17343665502014,3.83477311252911,0.0996532,1.28,1.1904319,1.28,1.17768
124,1,0.99,-0.15,2,2,2.32634787404084,0.05,2.31,0.3244029,1.1980123399727,3.17343665502014,3.83477311252911,0.0982974,1.38,1.2719329,1.38,1.3459128
125,1,0.99,-0.15,2,3,2.32634787404084,0.01,2.318,2.1988489,1.33147727275382,2.35595307763787,3.1696352648269,23.0122742,1.281,11.733225,1.281,11.7672376
126,1,0.99,-0.15,2,3,2.32634787404084,0.05,2.318,2.1388568,1.33147727275382,2.35595307763787,3.1696352648269,22.7765687,1.379,12.6520199,1.281,12.0009864
127,2,0.99,-0.15,2,1,2.32634787404084,0.01,2.3,0.2349097,0.79294341131955,2.58885391197298,3.84952353369345,0.008992,6.5,0.3589156,6.5,0.3523723
