Iteration,Run,CDF_Threshold,k,sigma,Rounding,Real_Threshold,SigLevel,Studentized_Residuals,SR_Time,Langousis_Min1,Langousis_Min2,Langousis_Min3,Langousis_Time,Anderson_Darling,AD_Time,Cramer_Von_Mises,CVM_Time
731,2,0.99,0.05,0.5,3,2.32634787404084,0.01,1.531,1.9457357,1.5734283634244,1.7035074338629,1.93034854580501,24.8232544,1.391,13.9610853,1.391,14.2097599
732,2,0.99,0.05,0.5,3,2.32634787404084,0.05,1.531,1.8887056,1.5734283634244,1.7035074338629,1.93034854580501,24.2323427,1.391,13.8560837,1.391,13.8872835
733,3,0.99,0.05,0.5,1,2.32634787404084,0.01,1.1,0.1151332,1.68304183099716,NaN,NaN,0.0058851,2,0.1897837,2,0.1829038
734,3,0.99,0.05,0.5,1,2.32634787404084,0.05,2,0.2228182,1.68304183099716,NaN,NaN,0.005923,2,0.1894232,2,0.1848591
735,3,0.99,0.05,0.5,2,2.32634787404084,0.01,1.36,0.4742744,2.23911921886537,2.68902021020129,NaN,0.080625,1.66,1.580522,1.64,1.7051772
736,3,0.99,0.05,0.5,2,2.32634787404084,0.05,1.36,0.5231851,2.23911921886537,2.68902021020129,NaN,0.0874905,1.66,1.6832738,1.66,1.6221998
737,3,0.99,0.05,0.5,3,2.32634787404084,0.01,1.36,1.9427753,1.55793179060606,1.98267274202149,2.18834481207315,24.2914555,1.636,15.1484274,1.558,14.8458105
738,3,0.99,0.05,0.5,3,2.32634787404084,0.05,1.36,1.9558912,1.55793179060606,1.98267274202149,2.18834481207315,24.7092955,1.657,15.4617073,1.636,15.1473014
739,4,0.99,0.05,0.5,1,2.32634787404084,0.01,1.7,0.245669,1.87187039162565,NaN,NaN,0.0058475,1.6,0.1551768,1.6,0.1582859
740,4,0.99,0.05,0.5,1,2.32634787404084,0.05,1.7,0.2286962,1.87187039162565,NaN,NaN,0.0062561,1.6,0.1574386,1.6,0.1517121
741,4,0.99,0.05,0.5,2,2.32634787404084,0.01,1.75,0.3693534,1.80983144234718,NaN,NaN,0.1032392,1.28,1.3045369,1.28,1.3020869
742,4,0.99,0.05,0.5,2,2.32634787404084,0.05,1.75,0.3775703,1.80983144234718,NaN,NaN,0.0952261,1.28,1.3743223,1.28,1.3106726
743,4,0.99,0.05,0.5,3,2.32634787404084,0.01,1.24,1.9261603,1.78985959507857,2.2118768777534,2.67237258944525,24.5676839,1.281,13.2298327,1.238,12.745226
744,4,0.99,0.05,0.5,3,2.32634787404084,0.05,1.24,1.9154792,1.78985959507857,2.2118768777534,2.67237258944525,24.5979866,1.282,13.1440195,1.282,13.2527802
745,5,0.99,0.05,0.5,1,2.32634787404084,0.01,1.2,0.0916571,2.48138351231903,NaN,NaN,0.0048393,3.8,0.2548727,3.8,0.2627395
746,5,0.99,0.05,0.5,1,2.32634787404084,0.05,1.7,0.2853781,2.48138351231903,NaN,NaN,0.0053486,3.8,0.2613766,3.8,0.254791
747,5,0.99,0.05,0.5,2,2.32634787404084,0.01,1.22,0.2449393,1.70899173881785,2.3387438190752,2.57089334959759,0.1094122,1.65,1.5200351,1.65,1.5354848
748,5,0.99,0.05,0.5,2,2.32634787404084,0.05,2.36,0.5872985,1.70899173881785,2.3387438190752,2.57089334959759,0.1117028,1.65,1.5199657,1.65,1.530132
749,5,0.99,0.05,0.5,3,2.32634787404084,0.01,1.289,2.043485,1.32311753754339,1.73432843018488,2.31734825042028,25.1582269,1.564,14.3824167,1.564,14.8823324
750,5,0.99,0.05,0.5,3,2.32634787404084,0.05,1.289,2.0103495,1.32311753754339,1.73432843018488,2.31734825042028,24.3067984,1.564,14.672439,1.564,15.1317184
751,6,0.99,0.05,0.5,1,2.32634787404084,0.01,1.7,0.2122836,1.85005807490537,NaN,NaN,0.0048625,1.8,0.1731386,1.8,0.2247769
752,6,0.99,0.05,0.5,1,2.32634787404084,0.05,1.7,0.2082417,1.85005807490537,NaN,NaN,0.0057237,1.8,0.1739007,1.8,0.1729527
753,6,0.99,0.05,0.5,2,2.32634787404084,0.01,1.34,0.5021232,1.82824209162527,NaN,NaN,0.1069808,1.44,1.4310331,1.44,1.4140957
754,6,0.99,0.05,0.5,2,2.32634787404084,0.05,1.93,0.6247604,1.82824209162527,NaN,NaN,0.0806477,1.48,1.4275135,1.48,1.4591803
755,6,0.99,0.05,0.5,3,2.32634787404084,0.01,1.344,1.9003939,1.85306612196563,3.24870591845611,NaN,23.7676028,1.301,13.5468435,1.301,13.3955981
756,6,0.99,0.05,0.5,3,2.32634787404084,0.05,1.344,1.9971398,1.85306612196563,3.24870591845611,NaN,23.6418119,1.475,14.1484719,1.45,14.2860731
757,7,0.99,0.05,0.5,1,2.32634787404084,0.01,1.6,0.2055883,1.59177782337795,NaN,NaN,0.0055197,3.8,0.2633583,3.8,0.273148
758,7,0.99,0.05,0.5,1,2.32634787404084,0.05,1.6,0.205729,1.59177782337795,NaN,NaN,0.0053446,3.8,0.2662999,3.8,0.2652914
759,7,0.99,0.05,0.5,2,2.32634787404084,0.01,1.71,0.3734404,1.58494628516813,2.35244787418769,NaN,0.1005696,1.47,1.4369097,1.47,1.45507
760,7,0.99,0.05,0.5,2,2.32634787404084,0.05,1.71,0.3580783,1.58494628516813,2.35244787418769,NaN,0.0979733,1.47,1.4576318,1.47,1.4447281
761,7,0.99,0.05,0.5,3,2.32634787404084,0.01,1.71,2.4392595,1.64437206093189,2.34067911494207,NaN,24.920097,1.39,13.7839518,1.39,14.2122046
762,7,0.99,0.05,0.5,3,2.32634787404084,0.05,1.71,2.4209469,1.64437206093189,2.34067911494207,NaN,24.3855252,1.39,13.8522396,1.464,14.1760795
763,8,0.99,0.05,0.5,1,2.32634787404084,0.01,1.5,0.1971578,2.0085695330992,NaN,NaN,0.0054129,4,0.2729539,4,0.2581297
764,8,0.99,0.05,0.5,1,2.32634787404084,0.05,2.1,0.3379607,2.0085695330992,NaN,NaN,0.0055291,4,0.265919,4,0.2669289
765,8,0.99,0.05,0.5,2,2.32634787404084,0.01,1.57,0.493043,2.07526967096606,2.42280147908147,3.21194589848139,0.0872979,1.56,1.4801705,1.56,1.47897
766,8,0.99,0.05,0.5,2,2.32634787404084,0.05,1.57,0.4723465,2.07526967096606,2.42280147908147,3.21194589848139,0.0924327,1.58,1.5948259,1.57,1.6072202
767,8,0.99,0.05,0.5,3,2.32634787404084,0.01,1.382,2.0005883,2.04878063959318,2.43389365793543,3.23366648003847,25.4393898,1.498,14.2291632,1.498,14.2275014
768,8,0.99,0.05,0.5,3,2.32634787404084,0.05,1.382,1.9096325,2.04878063959318,2.43389365793543,3.23366648003847,25.3487243,1.535,15.0224303,1.498,14.2601823
769,9,0.99,0.05,0.5,1,2.32634787404084,0.01,1.6,0.2488737,1.67258654232002,NaN,NaN,0.0059027,1.6,0.1558431,1.6,0.1636056
770,9,0.99,0.05,0.5,1,2.32634787404084,0.05,1.6,0.2302671,1.67258654232002,NaN,NaN,0.0065679,1.6,0.1544994,1.6,0.1544741
771,9,0.99,0.05,0.5,2,2.32634787404084,0.01,1.44,0.3557193,1.65645293619031,2.6257820801883,NaN,0.1008518,1.37,1.3882704,1.3,1.3349992
772,9,0.99,0.05,0.5,2,2.32634787404084,0.05,1.7,0.5278646,1.65645293619031,2.6257820801883,NaN,0.0851875,1.39,1.3823137,1.37,1.370503
773,9,0.99,0.05,0.5,3,2.32634787404084,0.01,1.396,2.0059542,1.66514870768971,2.18470937355236,2.61254520231852,25.1690319,1.316,13.7561685,1.3,13.2694134
774,9,0.99,0.05,0.5,3,2.32634787404084,0.05,1.396,1.9817254,1.66514870768971,2.18470937355236,2.61254520231852,25.081628,1.389,13.6621886,1.372,14.1242877
775,10,0.99,0.05,0.5,1,2.32634787404084,0.01,1.5,0.2085714,1.5789734327953,NaN,NaN,0.0052457,1.8,0.1787304,1.8,0.1744523
776,10,0.99,0.05,0.5,1,2.32634787404084,0.05,1.5,0.2071087,1.5789734327953,NaN,NaN,0.0052383,1.8,0.1781831,1.8,0.1746625
777,10,0.99,0.05,0.5,2,2.32634787404084,0.01,1.55,0.3755302,1.64595009249132,2.85193098658769,NaN,0.0928143,1.37,1.4030808,1.33,1.3906444
778,10,0.99,0.05,0.5,2,2.32634787404084,0.05,1.55,0.3777059,1.64595009249132,2.85193098658769,NaN,0.0918374,1.37,1.395371,1.37,1.3988925
779,10,0.99,0.05,0.5,3,2.32634787404084,0.01,1.419,1.8552079,1.57436259763558,1.81079367795517,2.85350227873915,23.8759653,1.327,13.6613547,1.327,14.0800187
780,10,0.99,0.05,0.5,3,2.32634787404084,0.05,1.419,1.8654671,1.57436259763558,1.81079367795517,2.85350227873915,24.0841783,1.366,14.0623997,1.366,13.841159
781,1,0.99,0.05,1,1,2.32634787404084,0.01,2.3,0.3459106,1.38059069212482,2.49268865088219,NaN,0.0059838,1.5,0.1441361,1.5,0.1403418
782,1,0.99,0.05,1,1,2.32634787404084,0.05,2.3,0.3415999,1.38059069212482,2.49268865088219,NaN,0.0063935,1.8,0.1565968,1.6,0.1479335
783,1,0.99,0.05,1,2,2.32634787404084,0.01,2.32,0.5031218,1.48540861090676,2.39295964782243,NaN,0.1288513,1.38,1.370113,0.97,1.1199484
784,1,0.99,0.05,1,2,2.32634787404084,0.05,2.32,0.5365182,1.48540861090676,2.39295964782243,NaN,0.1031507,1.48,1.4025844,1.48,1.3616407
785,1,0.99,0.05,1,3,2.32634787404084,0.01,1.579,1.8997894,1.55677109416519,2.37595014068923,3.43155652540829,24.8488925,1.376,12.8566647,1.368,13.2611382
786,1,0.99,0.05,1,3,2.32634787404084,0.05,1.579,1.9140034,1.55677109416519,2.37595014068923,3.43155652540829,24.9606623,1.453,12.8836321,1.377,12.4601016
787,2,0.99,0.05,1,1,2.32634787404084,0.01,2.7,0.3654999,1.26887701178426,2.75661395899461,4.14171370618692,0.0076213,1.4,0.1315767,1.4,0.1321555
788,2,0.99,0.05,1,1,2.32634787404084,0.05,2.7,0.3543621,1.26887701178426,2.75661395899461,4.14171370618692,0.008168,1.4,0.1401187,1.4,0.1350214
789,2,0.99,0.05,1,2,2.32634787404084,0.01,2.32,0.3777816,1.36681239187466,2.72945953714564,4.16928808305583,0.1150987,0.87,0.9777402,0.87,0.9964008
790,2,0.99,0.05,1,2,2.32634787404084,0.05,2.74,0.6171746,1.36681239187466,2.72945953714564,4.16928808305583,0.1161227,1.43,1.3757139,1.42,1.3727351
791,2,0.99,0.05,1,3,2.32634787404084,0.01,2.317,2.5625833,1.4740594954124,2.71040405713936,4.14382645391807,25.163071,0.867,9.3141316,0.867,9.257756
792,2,0.99,0.05,1,3,2.32634787404084,0.05,2.317,2.5432164,1.4740594954124,2.71040405713936,4.14382645391807,24.8821202,1.425,13.2412849,0.992,10.1678683
793,3,0.99,0.05,1,1,2.32634787404084,0.01,1.5,0.3404835,1.49625942400698,2.47146738314001,3.91074399268247,0.0071288,1.2,0.1379463,1.2,0.1376697
794,3,0.99,0.05,1,1,2.32634787404084,0.05,1.5,0.3218354,1.49625942400698,2.47146738314001,3.91074399268247,0.0082207,1.7,0.1564117,1.2,0.1218101
795,3,0.99,0.05,1,2,2.32634787404084,0.01,1.56,0.3593611,1.57332430497966,2.4490743485009,3.78448709784407,0.1146112,1.19,1.1826612,0.94,1.0013372
796,3,0.99,0.05,1,2,2.32634787404084,0.05,1.56,0.3495134,1.57332430497966,2.4490743485009,3.78448709784407,0.0998353,1.23,1.197013,1.19,1.1725774
797,3,0.99,0.05,1,3,2.32634787404084,0.01,1.392,2.0080844,1.64872907695751,2.48880661317085,3.76447537821363,25.1913644,1.189,11.613116,0.944,10.4431251
798,3,0.99,0.05,1,3,2.32634787404084,0.05,1.392,1.9507652,1.64872907695751,2.48880661317085,3.76447537821363,24.7176956,1.233,11.8492357,1.189,11.8821062
799,4,0.99,0.05,1,1,2.32634787404084,0.01,1.4,0.2864987,1.35848137210339,NaN,NaN,0.0061494,1.6,0.1527897,1.4,0.1359649
800,4,0.99,0.05,1,1,2.32634787404084,0.05,1.4,0.2790914,1.35848137210339,NaN,NaN,0.0066136,1.6,0.1491749,1.6,0.1539825
801,4,0.99,0.05,1,2,2.32634787404084,0.01,1.45,0.3894322,1.352753286166,2.4048946377233,3.52075124594528,0.0978739,1.42,1.3318185,1.42,1.3119203
802,4,0.99,0.05,1,2,2.32634787404084,0.05,1.45,0.3500006,1.352753286166,2.4048946377233,3.52075124594528,0.1155099,1.42,1.3125763,1.42,1.3126853
803,4,0.99,0.05,1,3,2.32634787404084,0.01,1.279,2.0928922,1.42814734440962,2.38039756427996,3.51903360658886,25.0391744,1.419,12.9706519,1.385,12.9709903
804,4,0.99,0.05,1,3,2.32634787404084,0.05,1.279,2.0344928,1.42814734440962,2.38039756427996,3.51903360658886,25.3501726,1.421,12.8849633,1.421,12.831528
805,5,0.99,0.05,1,1,2.32634787404084,0.01,2.3,0.3654732,1.24991913785415,2.58257004696712,3.61223496594141,0.0072174,1.9,0.1689792,1.3,0.1347527
806,5,0.99,0.05,1,1,2.32634787404084,0.05,2.3,0.3615425,1.24991913785415,2.58257004696712,3.61223496594141,0.0070337,2.1,0.1778252,2,0.1670862
807,5,0.99,0.05,1,2,2.32634787404084,0.01,2.32,0.4718548,1.35631486131143,2.52532732438556,3.51016947348085,0.1276078,1.39,1.2815417,1.31,1.2395942
808,5,0.99,0.05,1,2,2.32634787404084,0.05,2.32,0.4782426,1.35631486131143,2.52532732438556,3.51016947348085,0.1129786,1.85,1.5512877,1.39,1.2770099
809,5,0.99,0.05,1,3,2.32634787404084,0.01,2.324,2.8489085,1.45552117415268,2.40777606701559,3.51465493304095,26.1802298,1.384,12.6632883,1.309,12.2153213
810,5,0.99,0.05,1,3,2.32634787404084,0.05,2.324,2.7129351,1.45552117415268,2.40777606701559,3.51465493304095,25.9499953,1.848,15.1877776,1.388,12.673788
811,6,0.99,0.05,1,1,2.32634787404084,0.01,1.6,0.2570235,2.44134881086324,3.41059975847418,NaN,0.007063,1.3,0.1330249,1.2,0.1259574
812,6,0.99,0.05,1,1,2.32634787404084,0.05,1.6,0.2588813,2.44134881086324,3.41059975847418,NaN,0.0073334,1.6,0.1512888,1.5,0.140795
813,6,0.99,0.05,1,2,2.32634787404084,0.01,1.82,0.4723974,1.73925509799923,2.37822042820874,2.88298288636231,0.1186153,0.96,1.0438243,0.96,1.011314
814,6,0.99,0.05,1,2,2.32634787404084,0.05,1.82,0.4722749,1.73925509799923,2.37822042820874,2.88298288636231,0.1217914,1.28,1.2133969,1,1.0350566
815,6,0.99,0.05,1,3,2.32634787404084,0.01,1.71,2.4056592,1.77911100888358,2.35868592393161,2.89527756656568,24.7172767,0.961,10.3593954,0.939,10.0449098
816,6,0.99,0.05,1,3,2.32634787404084,0.05,1.71,2.3980252,1.77911100888358,2.35868592393161,2.89527756656568,24.7035363,1.275,12.4274444,0.986,10.2422618
817,7,0.99,0.05,1,1,2.32634787404084,0.01,1.4,0.2997056,1.34983071381838,2.48744293151104,NaN,0.0092408,1.5,0.1501064,1.3,0.1351266
818,7,0.99,0.05,1,1,2.32634787404084,0.05,1.4,0.281793,1.34983071381838,2.48744293151104,NaN,0.008029,1.6,0.1503839,1.5,0.1396703
819,7,0.99,0.05,1,2,2.32634787404084,0.01,2.34,0.5008404,1.3896251582186,2.40931152600931,3.03055231896653,0.1120226,0.91,1.0157182,0.91,1.0835701
820,7,0.99,0.05,1,2,2.32634787404084,0.05,2.34,0.5525268,1.3896251582186,2.40931152600931,3.03055231896653,0.1233841,1.46,1.4272803,0.91,1.1185881
821,7,0.99,0.05,1,3,2.32634787404084,0.01,1.367,1.9734147,1.45175594459566,2.39440393909557,3.05470557491363,23.9536596,0.912,9.873759,0.885,9.8844803
822,7,0.99,0.05,1,3,2.32634787404084,0.05,1.367,1.929397,1.45175594459566,2.39440393909557,3.05470557491363,24.0741655,1.454,13.131729,0.912,9.9372567
823,8,0.99,0.05,1,1,2.32634787404084,0.01,2.3,0.399325,1.24064704823073,3.45244977452375,3.86058031841893,0.0085827,1.4,0.1383634,1.4,0.1344495
824,8,0.99,0.05,1,1,2.32634787404084,0.05,2.3,0.393672,1.24064704823073,3.45244977452375,3.86058031841893,0.0085206,1.8,0.1591103,1.7,0.1489646
825,8,0.99,0.05,1,2,2.32634787404084,0.01,2.33,0.3802325,1.37702668700485,2.46199679676662,3.31037626040111,0.105173,0.9,0.9439887,0.89,0.94476
826,8,0.99,0.05,1,2,2.32634787404084,0.05,2.33,0.3734187,1.37702668700485,2.46199679676662,3.31037626040111,0.126819,1.73,1.469723,1.42,1.2713799
827,8,0.99,0.05,1,3,2.32634787404084,0.01,2.328,2.751069,1.52439203065927,2.43197935690506,2.79445739308358,26.2811092,0.896,9.5610758,0.896,9.3295239
828,8,0.99,0.05,1,3,2.32634787404084,0.05,2.328,2.7382212,1.52439203065927,2.43197935690506,2.79445739308358,26.1474036,1.728,14.0295843,1.421,13.1945305
829,9,0.99,0.05,1,1,2.32634787404084,0.01,2.2,0.4662578,1.17915699416374,2.40811210969018,3.69689316787496,0.0082619,1.7,0.1681946,1.4,0.1578249
830,9,0.99,0.05,1,1,2.32634787404084,0.05,2.2,0.4841492,1.17915699416374,2.40811210969018,3.69689316787496,0.0094216,2.1,0.1925835,2.1,0.2249844
831,9,0.99,0.05,1,2,2.32634787404084,0.01,2.3,0.4948336,1.30337355327745,2.32936110477103,3.68587687756868,0.1185024,1.45,1.3396865,0.9,0.9921308
832,9,0.99,0.05,1,2,2.32634787404084,0.05,2.3,0.4785038,1.30337355327745,2.32936110477103,3.68587687756868,0.1091103,1.45,1.3333096,1.45,1.3455958
833,9,0.99,0.05,1,3,2.32634787404084,0.01,2.291,2.409636,1.39637874074408,2.31262366857658,3.44150539246962,24.1005877,1.449,13.4063288,0.898,10.3176534
834,9,0.99,0.05,1,3,2.32634787404084,0.05,2.291,2.4251475,1.39637874074408,2.31262366857658,3.44150539246962,24.3278096,1.45,13.1804263,1.449,13.417995
835,10,0.99,0.05,1,1,2.32634787404084,0.01,2.3,0.4141343,1.45027978184612,2.46832110428966,3.37356436866548,0.0064659,1.4,0.1439767,1.3,0.1357791
836,10,0.99,0.05,1,1,2.32634787404084,0.05,2.3,0.4117161,1.45027978184612,2.46832110428966,3.37356436866548,0.0066708,1.7,0.1558672,1.4,0.142596
837,10,0.99,0.05,1,2,2.32634787404084,0.01,2.33,0.6199283,1.57418165077894,2.39063942340794,2.72047372226298,0.1087757,1.25,1.2298615,1.25,1.231883
838,10,0.99,0.05,1,2,2.32634787404084,0.05,2.33,0.5891315,1.57418165077894,2.39063942340794,2.72047372226298,0.1046855,1.25,1.2282396,1.25,1.3304291
839,10,0.99,0.05,1,3,2.32634787404084,0.01,1.741,2.43467,1.64476622135911,2.37302961443172,3.34291421984041,24.1491288,1.248,12.229343,1.246,12.5015297
840,10,0.99,0.05,1,3,2.32634787404084,0.05,1.741,2.3130702,1.64476622135911,2.37302961443172,3.34291421984041,24.0994678,1.25,12.2665266,1.248,12.265262
841,1,0.99,0.05,2,1,2.32634787404084,0.01,2.3,0.4825452,1.16519992693404,2.46279131578823,4.81949953211116,0.0090512,1.5,0.1415978,1.5,0.1392988
842,1,0.99,0.05,2,1,2.32634787404084,0.05,2.3,0.4784525,1.16519992693404,2.46279131578823,4.81949953211116,0.0093381,1.6,0.1460691,1.6,0.1444896
843,1,0.99,0.05,2,2,2.32634787404084,0.01,2.32,0.318486,1.25755675812443,2.39950948206204,3.76981116613168,0.1124404,1.53,1.3822893,1.53,1.3958879
844,1,0.99,0.05,2,2,2.32634787404084,0.05,2.32,0.3495896,1.25755675812443,2.39950948206204,3.76981116613168,0.105024,1.56,1.4169637,1.53,1.3712878
845,1,0.99,0.05,2,3,2.32634787404084,0.01,2.329,2.3315314,1.3692210563063,2.39135974557187,3.74332731250016,25.0998617,1.524,13.5903433,1.524,13.4588334
846,1,0.99,0.05,2,3,2.32634787404084,0.05,2.329,2.2679411,1.3692210563063,2.39135974557187,3.74332731250016,24.7371406,1.529,14.0828026,1.529,13.5500706
847,2,0.99,0.05,2,1,2.32634787404084,0.01,2.3,0.5264581,1.20562367969217,2.46982197035252,3.30167601524728,0.009102,1.3,0.1286453,1.2,0.1230851
848,2,0.99,0.05,2,1,2.32634787404084,0.05,2.3,0.4863067,1.20562367969217,2.46982197035252,3.30167601524728,0.0089439,1.3,0.1285882,1.3,0.1244205
849,2,0.99,0.05,2,2,2.32634787404084,0.01,2.32,0.3745541,1.32417254265472,2.410780371848,2.97058321039482,0.1043041,1.29,1.2209124,1.25,1.1836646
850,2,0.99,0.05,2,2,2.32634787404084,0.05,2.32,0.3735131,1.32417254265472,2.410780371848,2.97058321039482,0.1013914,1.32,1.27695,1.29,1.2343489
851,2,0.99,0.05,2,3,2.32634787404084,0.01,2.325,2.3456226,1.41518580165753,2.3876530770351,2.98005102634067,23.7251211,1.29,12.4886089,1.25,12.0783014
852,2,0.99,0.05,2,3,2.32634787404084,0.05,2.325,2.3497038,1.41518580165753,2.3876530770351,2.98005102634067,23.8739535,1.315,12.594582,1.29,12.1045373
853,3,0.99,0.05,2,1,2.32634787404084,0.01,2.3,0.3322534,0.97691189069547,3.79684705647564,4.32940132411438,0.0091711,1.4,0.1792706,1.4,0.1405488
854,3,0.99,0.05,2,1,2.32634787404084,0.05,2.3,0.3501918,0.97691189069547,3.79684705647564,4.32940132411438,0.0103334,1.5,0.1389055,1.5,0.1431872
855,3,0.99,0.05,2,2,2.32634787404084,0.01,2.31,0.4053141,1.08278031467113,2.36320314705819,3.69794113030156,0.1257877,1.42,1.3659487,1.42,1.398096
856,3,0.99,0.05,2,2,2.32634787404084,0.05,2.31,0.4222697,1.08278031467113,2.36320314705819,3.69794113030156,0.141941,1.48,1.3305042,1.42,1.2834974
857,3,0.99,0.05,2,3,2.32634787404084,0.01,2.315,2.3075504,1.2064493180081,2.33770744416063,3.67862374980403,25.8530272,1.423,13.2957883,1.418,12.7751413
858,3,0.99,0.05,2,3,2.32634787404084,0.05,2.315,2.3298629,1.2064493180081,2.33770744416063,3.67862374980403,26.2087438,1.485,13.1741489,1.423,12.958627
859,4,0.99,0.05,2,1,2.32634787404084,0.01,2.3,0.5006195,1.37131691066016,2.40989249870449,4.42890355948847,0.0087008,1.2,0.1239829,1.2,0.1222408
860,4,0.99,0.05,2,1,2.32634787404084,0.05,2.3,0.5125231,1.37131691066016,2.40989249870449,4.42890355948847,0.0085472,1.2,0.1253239,1.2,0.1243703
861,4,0.99,0.05,2,2,2.32634787404084,0.01,2.32,0.3847161,1.47999292319031,2.36087021763143,3.03401605285573,0.1087424,1.16,1.146519,0.92,0.9663891
862,4,0.99,0.05,2,2,2.32634787404084,0.05,2.32,0.4241027,1.47999292319031,2.36087021763143,3.03401605285573,0.1110254,1.16,1.1387087,1.16,1.1274526
863,4,0.99,0.05,2,3,2.32634787404084,0.01,2.326,2.5908423,1.59531528057238,2.35273822060441,4.51596564943153,23.8399368,0.893,9.4381903,0.884,9.2731705
864,4,0.99,0.05,2,3,2.32634787404084,0.05,2.326,2.5941866,1.59531528057238,2.35273822060441,4.51596564943153,24.2861298,0.92,10.1581808,0.912,9.541289
865,5,0.99,0.05,2,1,2.32634787404084,0.01,2.3,0.4994007,1.17156599332734,2.60364337861693,3.4150478111742,0.009744,1.7,0.1532086,1.6,0.1615401
866,5,0.99,0.05,2,1,2.32634787404084,0.05,3.3,0.682086,1.17156599332734,2.60364337861693,3.4150478111742,0.0091393,1.7,0.1509703,1.7,0.1548145
867,5,0.99,0.05,2,2,2.32634787404084,0.01,2.32,0.3489415,1.2987069041122,2.64654055262905,3.17330521287918,0.1368087,1.36,1.3565904,1.34,1.2837812
868,5,0.99,0.05,2,2,2.32634787404084,0.05,2.32,0.3688506,1.2987069041122,2.64654055262905,3.17330521287918,0.1288582,1.65,1.4608896,1.65,1.4657512
869,5,0.99,0.05,2,3,2.32634787404084,0.01,2.324,2.5538775,1.42911220843531,2.46679247201461,2.62397467112598,25.308109,1.358,12.8700342,1.356,12.835786
870,5,0.99,0.05,2,3,2.32634787404084,0.05,2.324,2.5445771,1.42911220843531,2.46679247201461,2.62397467112598,24.9469637,1.647,14.3580265,1.647,14.3598543
871,6,0.99,0.05,2,1,2.32634787404084,0.01,2.3,0.5646529,1.22725101304247,3.77915156535282,4.59416968117202,0.0090302,1.3,0.1378986,1.3,0.1351187
872,6,0.99,0.05,2,1,2.32634787404084,0.05,2.3,0.4795558,1.22725101304247,3.77915156535282,4.59416968117202,0.0094659,1.3,0.1291904,1.3,0.1253169
873,6,0.99,0.05,2,2,2.32634787404084,0.01,2.32,0.4157612,1.29275990816175,3.75407505150921,4.93324987829148,0.1122039,1.32,1.2795501,1.32,1.2622602
874,6,0.99,0.05,2,2,2.32634787404084,0.05,2.32,0.4180591,1.29275990816175,3.75407505150921,4.93324987829148,0.1203698,1.32,1.2635256,1.32,1.2567616
875,6,0.99,0.05,2,3,2.32634787404084,0.01,2.319,2.3526037,1.37730010792331,2.3985262452942,3.75861943263193,24.9954763,1.304,12.694381,1.296,12.2796127
876,6,0.99,0.05,2,3,2.32634787404084,0.05,2.319,2.4898792,1.37730010792331,2.3985262452942,3.75861943263193,24.9436437,1.316,12.4759892,1.316,12.6604507
877,7,0.99,0.05,2,1,2.32634787404084,0.01,2.3,0.5292786,1.26095586806748,4.15750447976191,4.86538662484246,0.0093689,1.4,0.1383093,1.4,0.1342924
878,7,0.99,0.05,2,1,2.32634787404084,0.05,2.3,0.4906838,1.26095586806748,4.15750447976191,4.86538662484246,0.0095729,1.5,0.1465334,1.5,0.1406956
879,7,0.99,0.05,2,2,2.32634787404084,0.01,2.32,0.3874941,1.33368148068891,2.39499353233006,3.37691262542446,0.1437364,1.44,1.3769109,1.43,1.3827124
880,7,0.99,0.05,2,2,2.32634787404084,0.05,2.32,0.4142135,1.33368148068891,2.39499353233006,3.37691262542446,0.1462454,1.44,1.3545057,1.44,1.3832876
881,7,0.99,0.05,2,3,2.32634787404084,0.01,2.323,2.3151827,1.4324119090639,2.36020751392127,3.34333408161565,24.6634452,1.428,13.2213616,1.428,13.3338238
882,7,0.99,0.05,2,3,2.32634787404084,0.05,2.323,2.4033455,1.4324119090639,2.36020751392127,3.34333408161565,24.8153513,1.436,13.3393445,1.436,13.2215381
883,8,0.99,0.05,2,1,2.32634787404084,0.01,2.3,0.3128492,1.01305856914677,3.47077835692305,4.66906973763747,0.0082982,1.8,0.1610008,1.8,0.1596702
884,8,0.99,0.05,2,1,2.32634787404084,0.05,5.1,0.439613,1.01305856914677,3.47077835692305,4.66906973763747,0.0083643,7.7,0.3566773,7.7,0.3596912
885,8,0.99,0.05,2,2,2.32634787404084,0.01,2.32,0.3667741,1.17705459320197,3.45670761113264,4.68421941175085,0.1100773,1.74,1.5021421,1.59,1.4109947
886,8,0.99,0.05,2,2,2.32634787404084,0.05,2.32,0.3847733,1.17705459320197,3.45670761113264,4.68421941175085,0.1239288,1.8,1.5316199,1.74,1.4843714
887,8,0.99,0.05,2,3,2.32634787404084,0.01,2.326,2.4299315,1.31243797791855,3.44389964144452,4.67290057319747,25.2498646,1.736,14.2946906,1.588,13.4906039
888,8,0.99,0.05,2,3,2.32634787404084,0.05,2.326,2.4216035,1.31243797791855,3.44389964144452,4.67290057319747,25.0211328,1.756,14.7872322,1.743,14.2262866
889,9,0.99,0.05,2,1,2.32634787404084,0.01,1.4,0.3579227,1.37781155103497,2.49211786618961,2.95521845958816,0.009073,1.2,0.1228448,1.2,0.1267157
890,9,0.99,0.05,2,1,2.32634787404084,0.05,1.4,0.346799,1.37781155103497,2.49211786618961,2.95521845958816,0.0082165,1.2,0.1253646,1.2,0.1205869
