Method,Mean,Median,StdDev
Studentized Residuals,-0.943094869043559,-0.90892736312454,0.499816403363688
Langousis Min1,-0.0588411133238131,0.0697102522578099,0.663582089305674
Langousis Min2,0.795394187697117,0.79709694886425,0.918406966697172
Langousis Min3,-0.960469827919183,-0.92684787404084,0.720877750835754
Anderson-Darling,-0.851580939030294,-0.86408858879487,0.730717687782748
Cramer-Von Mises,-1.13766982791918,-1.16434787404084,0.505180265486237
